Age,MonthlyIncome,Attrition,DailyRate,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,OverTime_No,OverTime_Yes
35,2426.0,0,809,16,3,14.0,1,84,4,1,2,16479.0,0,13.0,3.0,3,1,6,5,3,5,4,0,3,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False
29,4193.0,0,153,15,2,15.0,4,49,2,2,3,12682.0,0,12.0,3.0,4,0,10,3,3,9,5,0,8,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True
31,2911.0,0,670,26,1,16.0,1,31,3,1,3,15170.0,1,17.0,3.0,4,1,5,1,2,5,2,4,3,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False
34,2661.0,0,1346,19,2,18.0,2,93,3,1,4,8758.0,0,11.0,3.0,3,1,3,2,3,2,2,1,2,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False
28,2028.0,1,103,24,3,19.0,3,50,2,1,3,12947.0,5,14.0,3.0,2,0,6,4,3,4,2,0,3,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True
29,9980.0,0,1389,21,4,20.0,2,51,4,3,1,10195.0,1,11.0,3.0,3,1,10,1,3,10,9,8,8,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
32,3298.0,0,334,5,2,21.0,1,80,4,1,2,15053.0,0,12.0,3.0,4,2,7,5,2,6,2,0,5,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True
22,2935.0,0,1123,16,2,22.0,4,96,4,1,4,7324.0,1,13.0,3.0,2,2,1,2,2,1,0,0,0,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True
53,15427.0,0,1219,2,4,23.0,1,78,2,4,4,22021.0,2,16.0,3.0,3,0,31,3,3,25,8,3,7,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
38,3944.0,0,371,2,3,24.0,4,45,3,1,4,4306.0,5,11.0,3.0,3,0,6,3,3,3,2,1,2,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True
24,4011.0,0,673,11,2,26.0,1,96,4,2,3,8232.0,0,18.0,3.0,4,1,5,5,2,4,2,1,3,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False
36,3407.0,1,1218,9,4,27.0,3,82,2,1,1,6986.0,7,23.0,4.0,2,0,10,4,3,5,3,0,3,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False
34,11994.0,0,419,7,4,28.0,1,53,3,3,2,21293.0,0,11.0,3.0,3,0,13,4,3,12,6,2,11,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False
21,1232.0,0,391,15,2,30.0,3,96,3,1,4,,1,14.0,3.0,4,0,0,6,3,0,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False
34,2960.0,1,699,6,1,31.0,2,83,3,1,1,17102.0,2,11.0,3.0,3,0,8,2,3,4,2,1,3,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False
53,19094.0,0,1282,5,3,32.0,3,58,3,5,3,10735.0,4,11.0,3.0,4,1,26,3,2,14,13,4,8,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False
32,3919.0,1,1125,16,1,33.0,2,72,1,1,1,4681.0,1,22.0,4.0,2,0,10,5,3,10,2,6,7,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
42,6825.0,0,691,8,4,35.0,3,48,3,2,2,21173.0,0,11.0,3.0,4,1,10,2,3,9,7,4,2,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False
44,10248.0,0,477,7,4,36.0,1,42,2,3,4,2094.0,3,14.0,3.0,4,1,24,4,3,22,6,5,17,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
46,18947.0,0,705,2,4,38.0,2,83,3,5,1,22822.0,3,12.0,3.0,4,0,22,2,2,2,2,2,1,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
33,2496.0,0,924,2,3,39.0,3,78,3,1,4,6670.0,4,11.0,3.0,4,0,7,3,3,1,1,0,0,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False
44,6465.0,0,1459,10,4,40.0,4,41,3,2,4,19121.0,2,13.0,3.0,4,0,9,5,4,4,2,1,3,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True
30,2206.0,0,125,9,2,41.0,4,83,2,1,3,16117.0,1,13.0,3.0,1,0,10,5,3,10,0,1,8,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False
39,2086.0,1,895,5,3,42.0,4,56,3,2,4,3335.0,3,14.0,3.0,3,1,19,6,4,1,0,0,0,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False
24,2293.0,1,813,1,3,45.0,2,61,3,1,4,3020.0,2,16.0,3.0,1,1,6,2,2,2,0,2,0,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True
43,2645.0,0,1273,2,2,46.0,4,72,4,1,3,21923.0,1,12.0,3.0,4,2,6,3,2,5,3,1,4,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False
50,2683.0,1,869,3,2,47.0,1,86,2,1,3,3810.0,1,14.0,3.0,3,0,3,2,3,3,2,0,2,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True
35,2014.0,0,890,2,3,49.0,4,97,3,1,4,9687.0,1,13.0,3.0,1,0,2,3,3,2,2,2,2,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False
36,3419.0,0,852,5,4,51.0,2,82,2,1,1,13072.0,9,14.0,3.0,4,1,6,3,4,1,1,0,0,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
33,5376.0,0,1141,1,3,52.0,3,42,4,2,1,3193.0,2,19.0,3.0,1,2,10,3,3,5,3,1,3,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
35,1951.0,0,464,4,2,53.0,3,75,3,1,4,10910.0,1,12.0,3.0,3,1,1,3,3,1,0,0,0,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False
27,2341.0,0,1240,2,4,54.0,4,33,3,1,1,19715.0,1,13.0,3.0,4,1,1,6,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
26,2293.0,1,1357,25,3,55.0,1,48,1,1,3,10558.0,1,12.0,3.0,3,0,1,2,2,1,0,0,1,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False
27,8726.0,0,994,8,3,56.0,4,37,3,3,3,2975.0,1,15.0,3.0,4,0,9,0,3,9,8,1,7,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False
30,4011.0,0,721,1,2,57.0,3,58,3,2,4,10781.0,1,23.0,4.0,4,0,12,2,3,12,8,3,7,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False
41,19545.0,1,1360,12,3,58.0,2,49,3,5,3,16280.0,1,12.0,3.0,4,0,23,0,3,22,15,15,8,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
34,4568.0,0,1065,23,4,60.0,2,72,3,2,3,10034.0,0,20.0,4.0,3,0,10,2,3,9,5,8,7,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False
37,3022.0,0,408,19,2,61.0,2,73,3,1,2,10227.0,4,21.0,4.0,1,0,8,1,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
46,5772.0,0,1211,5,4,62.0,1,98,3,2,4,20445.0,4,21.0,4.0,3,0,14,4,3,9,6,0,8,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True
35,2269.0,0,1229,8,1,63.0,4,36,4,1,4,4892.0,1,19.0,3.0,4,0,1,2,3,1,0,0,1,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False
48,5381.0,1,626,1,2,64.0,1,98,2,3,3,19294.0,9,13.0,3.0,4,0,23,2,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True
28,3441.0,1,1434,5,4,65.0,3,50,3,1,3,11179.0,1,13.0,3.0,3,0,2,3,2,2,2,2,2,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True
44,5454.0,0,1488,1,5,68.0,2,75,3,2,1,4009.0,5,21.0,4.0,3,1,9,2,2,4,3,1,3,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
35,9884.0,0,1097,11,2,70.0,3,79,2,3,1,8302.0,2,13.0,3.0,3,1,10,3,3,4,0,2,3,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True
26,4157.0,0,1443,23,3,72.0,3,47,2,2,4,21436.0,7,19.0,3.0,3,1,5,2,2,2,2,0,0,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
33,13458.0,0,515,1,2,73.0,1,98,3,3,4,15146.0,1,12.0,3.0,3,0,15,1,3,15,14,8,12,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
35,9069.0,0,853,18,5,74.0,2,71,3,3,1,11031.0,1,22.0,4.0,4,1,9,3,2,9,8,1,8,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False
35,4014.0,0,1142,23,4,75.0,3,30,3,1,1,16002.0,3,15.0,3.0,3,1,4,3,3,2,2,2,2,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
31,5915.0,0,655,7,4,76.0,4,48,3,2,4,9528.0,3,22.0,4.0,4,1,10,3,2,7,7,1,7,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False
37,5993.0,0,1115,1,4,77.0,1,51,2,2,3,2689.0,1,18.0,3.0,3,1,7,2,4,7,5,0,7,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False
32,6162.0,0,427,1,3,78.0,1,33,3,2,4,10877.0,1,22.0,4.0,2,1,9,3,3,9,8,7,8,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True
38,2406.0,0,653,29,5,79.0,4,50,3,2,4,5456.0,1,11.0,3.0,4,0,10,2,3,10,3,9,9,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False
50,18740.0,0,989,7,2,80.0,2,43,2,5,3,16701.0,5,12.0,3.0,4,1,29,2,2,27,3,13,8,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
59,7637.0,0,1435,25,3,81.0,1,99,3,3,1,2354.0,7,11.0,3.0,4,0,28,3,2,21,16,7,9,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False
36,10096.0,0,1223,8,3,83.0,3,59,3,3,3,8202.0,1,13.0,3.0,2,3,17,2,3,17,14,12,8,False,False,True,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
55,14756.0,0,836,8,3,84.0,4,33,3,4,3,19730.0,2,14.0,3.0,3,3,21,2,3,5,0,0,2,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
36,6499.0,0,1195,11,3,85.0,2,95,2,2,2,22656.0,1,13.0,3.0,3,0,6,3,3,6,5,0,3,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False
45,9724.0,0,1339,7,3,86.0,2,59,3,3,1,18787.0,2,17.0,3.0,3,1,25,2,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False
35,2194.0,0,664,1,3,88.0,2,79,3,1,1,5868.0,4,13.0,3.0,4,1,5,2,2,3,2,1,2,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
36,3388.0,1,318,9,3,90.0,4,79,2,1,3,21777.0,0,17.0,3.0,1,1,2,0,2,1,0,0,0,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True
59,5473.0,0,1225,1,1,91.0,1,57,2,2,3,24668.0,7,11.0,3.0,4,0,20,2,2,4,3,1,3,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False
29,2703.0,0,1328,2,3,94.0,3,76,3,1,2,4956.0,0,23.0,4.0,4,1,6,3,3,5,4,0,4,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
31,2501.0,0,1082,1,4,95.0,3,87,3,1,2,18775.0,1,17.0,3.0,2,0,1,4,3,1,1,1,0,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False
32,6220.0,0,548,1,3,96.0,2,66,3,2,2,7346.0,1,17.0,3.0,2,2,10,3,3,10,4,0,9,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
36,3038.0,0,132,6,3,97.0,2,55,4,1,4,22002.0,3,12.0,3.0,2,0,5,3,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
31,4424.0,0,746,8,4,98.0,3,61,3,2,4,20682.0,1,23.0,4.0,4,0,11,2,3,11,7,1,8,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False
35,4312.0,0,776,1,4,100.0,3,32,2,2,1,23016.0,0,14.0,3.0,2,0,16,2,3,15,13,2,8,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False
45,13245.0,0,193,6,4,101.0,4,52,3,3,1,15067.0,4,14.0,3.0,2,0,17,3,4,0,0,0,0,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True
37,13664.0,0,397,7,4,102.0,1,30,3,3,3,25258.0,4,13.0,3.0,1,0,16,3,4,5,2,0,2,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False
46,5021.0,0,945,5,2,103.0,2,80,3,2,2,10425.0,8,22.0,4.0,4,1,16,2,3,4,2,0,2,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True
30,5126.0,0,852,1,1,104.0,4,55,2,2,4,15998.0,1,12.0,3.0,3,2,10,1,2,10,8,3,0,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True
35,2859.0,0,1214,1,3,105.0,2,30,2,1,3,26278.0,1,18.0,3.0,1,0,6,3,3,6,4,0,4,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False
55,10239.0,0,111,1,2,106.0,1,70,3,3,4,18092.0,3,14.0,3.0,4,1,24,4,3,1,0,1,0,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False
38,5329.0,0,573,6,3,107.0,2,79,1,2,4,15717.0,7,12.0,3.0,4,3,17,3,3,13,11,1,9,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True
34,4325.0,0,1153,1,2,110.0,1,94,3,2,2,17736.0,1,15.0,3.0,3,0,5,2,3,5,2,1,3,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False
56,7260.0,0,1400,7,3,112.0,4,49,1,3,4,21698.0,4,11.0,3.0,1,0,37,3,2,6,4,0,2,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False
23,2322.0,0,541,2,1,113.0,3,62,3,1,1,9518.0,3,13.0,3.0,3,1,3,3,3,0,0,0,0,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False
51,2075.0,0,432,9,4,116.0,4,96,3,1,4,18725.0,3,23.0,4.0,2,2,10,4,3,4,2,0,3,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False
30,4152.0,0,288,2,3,117.0,3,99,2,2,4,15830.0,1,19.0,3.0,1,3,11,3,3,11,10,10,8,False,False,True,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False
46,9619.0,1,669,9,2,118.0,3,64,2,3,4,13596.0,1,16.0,3.0,4,0,9,3,3,9,8,4,7,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False
40,13503.0,0,530,1,4,119.0,3,78,2,4,2,14115.0,1,22.0,4.0,4,1,22,3,2,22,3,11,11,False,True,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False
51,5441.0,0,632,21,4,120.0,3,71,3,2,4,8423.0,0,22.0,4.0,4,0,11,2,1,10,7,1,0,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True
30,5209.0,0,1334,4,2,121.0,3,63,2,2,2,19760.0,1,12.0,3.0,2,3,11,4,2,11,8,2,7,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True
46,10673.0,0,638,1,3,124.0,3,40,2,3,1,3142.0,2,13.0,3.0,3,1,21,5,2,10,9,9,5,False,True,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True
32,5010.0,0,1093,6,4,125.0,2,87,3,2,3,24301.0,1,16.0,3.0,1,0,12,0,3,11,8,5,7,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False
54,13549.0,0,1217,2,4,126.0,1,60,3,3,3,24001.0,9,12.0,3.0,1,1,16,5,1,4,3,0,3,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
24,4999.0,0,1353,3,2,128.0,1,33,3,2,3,17519.0,0,21.0,4.0,1,1,4,2,2,3,2,0,2,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
28,4221.0,0,120,4,3,129.0,2,43,3,2,3,8863.0,1,15.0,3.0,2,0,5,3,4,5,4,0,4,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False
58,13872.0,0,682,10,4,131.0,4,37,3,4,3,24409.0,0,13.0,3.0,3,0,38,1,2,37,10,1,8,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False
44,2042.0,0,489,23,3,132.0,2,67,3,2,2,25043.0,4,12.0,3.0,3,1,17,3,4,3,2,1,2,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False
37,2073.0,1,807,6,4,133.0,3,63,3,1,1,23648.0,4,22.0,4.0,4,0,7,3,3,3,2,0,2,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True
32,2956.0,0,827,1,1,134.0,4,71,3,1,1,15178.0,1,13.0,3.0,4,0,1,2,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False
20,2926.0,1,871,6,3,137.0,4,66,2,1,4,19783.0,1,18.0,3.0,2,0,1,5,3,1,0,1,0,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True
34,4809.0,0,665,6,4,138.0,1,41,3,2,3,,1,14.0,3.0,3,0,16,3,3,16,13,2,10,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False
37,5163.0,0,1040,2,2,139.0,3,100,2,2,4,15850.0,5,14.0,3.0,4,1,17,2,4,1,0,0,0,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False
59,18844.0,0,1420,2,4,140.0,3,32,2,5,4,21922.0,9,21.0,4.0,4,1,30,3,3,3,2,2,2,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
50,18172.0,0,1115,1,3,141.0,1,73,3,5,2,9755.0,3,19.0,3.0,1,0,28,1,2,8,3,0,7,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
25,5744.0,1,240,5,3,142.0,3,46,2,2,3,26959.0,1,11.0,3.0,4,0,6,1,3,6,4,0,3,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True
25,2889.0,0,1280,7,1,143.0,4,64,2,1,4,26897.0,1,11.0,3.0,3,2,2,2,3,2,2,2,1,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False
