Name,Subtitle,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK
Lexus UX 300e,45 kWh useable battery          Available since November 2020,7.5 sec,160,235,191,150,Front Wheel Drive,5,"47,550",N/A
BMW i4 eDrive40,80.7 kWh useable battery          Available since November 2021,5.7 sec,190,470,172,730,Rear Wheel Drive,5,"59,200","57,890"
Renault Twingo Electric,21.3 kWh useable battery          Available since November 2020,12.6 sec,135,130,164,-,Rear Wheel Drive,4,"28,000",N/A
Fiat 500e Cabrio 42 kWh,37.3 kWh useable battery          Available since November 2020,9.0 sec,150,230,162,380,Front Wheel Drive,4,"37,990","33,645"
Skoda Enyaq iV 60,58 kWh useable battery          Available since April 2021,8.7 sec,160,325,178,440,Rear Wheel Drive,5,N/A,"38,970"
Skoda Enyaq iV 80,77 kWh useable battery          Available since April 2021,8.6 sec,160,420,183,530,Rear Wheel Drive,5,"48,900","42,925"
Skoda Enyaq iV 80x,77 kWh useable battery          Available since June 2021,6.9 sec,160,400,193,500,All Wheel Drive,5,N/A,"51,765"
Skoda Enyaq iV RS,77 kWh useable battery          Available since October 2022,6.2 sec,180,390,197,540,All Wheel Drive,5,"63,300",N/A
Fiat 500e Hatchback 42 kWh,37.3 kWh useable battery          Available since November 2020,9.0 sec,150,235,159,390,Front Wheel Drive,4,"34,990","30,645"
Audi Q4 Sportback e-tron 35,52 kWh useable battery          Available since August 2021,9.0 sec,160,295,176,370,Rear Wheel Drive,5,N/A,N/A
Nissan Ariya 63kWh,63 kWh useable battery          Available since July 2022,7.5 sec,160,320,197,430,Front Wheel Drive,5,"47,490","46,145"
Nissan Ariya 87kWh,87 kWh useable battery          Available since July 2022,7.6 sec,160,435,200,520,Front Wheel Drive,5,"58,990","51,895"
Nissan Ariya e-4ORCE 87kWh - 225 kW,87 kWh useable battery          Available since July 2022,5.7 sec,200,420,207,500,All Wheel Drive,5,"61,990","54,595"
Nissan Ariya e-4ORCE 87kWh - 290 kW,87 kWh useable battery          Available since April 2023,5.1 sec,200,420,207,500,All Wheel Drive,5,"71,490",N/A
Volkswagen ID.4 Pro Performance,77 kWh useable battery          Available since January 2021,8.5 sec,160,410,188,520,Rear Wheel Drive,5,"46,335","46,035"
Mercedes EQV 300 Extra-Long,90 kWh useable battery          Available since October 2020,12.1 sec,160,305,295,310,Front Wheel Drive,7,"72,519",N/A
Lucid Air Grand Touring,112 kWh useable battery          Available since February 2023,3.2 sec,270,665,168,840,All Wheel Drive,5,"174,500",N/A
Lucid Air Touring,88 kWh useable battery          Expected from June 2023,3.4 sec,250,550,160,960,All Wheel Drive,5,"120,000",N/A
Lucid Air Pure,88 kWh useable battery          Expected from June 2023,4.2 sec,200,560,157,980,Rear Wheel Drive,5,"100,000",N/A
Fiat 500e Hatchback 24 kWh,21.3 kWh useable battery          Available since November 2020,9.0 sec,135,135,158,230,Front Wheel Drive,4,"30,990",N/A
Fiat 500e 3+1 42 kWh,37.3 kWh useable battery          Available since November 2020,9.0 sec,150,235,159,390,Front Wheel Drive,4,"36,990",N/A
Mercedes EQC 400 4MATIC,80 kWh useable battery          Available since November 2020,5.1 sec,180,370,216,440,All Wheel Drive,5,"66,069","72,335"
Citroen e-SpaceTourer M 50 kWh,46.3 kWh useable battery          Available since November 2020,12.1 sec,130,185,250,290,Front Wheel Drive,7,"53,640","47,495"
Citroen e-SpaceTourer XL 50 kWh,46.3 kWh useable battery          Available since November 2020,12.1 sec,130,180,257,290,Front Wheel Drive,7,"54,430","48,335"
Citroen e-SpaceTourer M 75 kWh,68 kWh useable battery          Available since February 2021,13.3 sec,130,265,257,290,Front Wheel Drive,7,"59,640",N/A
Citroen e-SpaceTourer XL 75 kWh,68 kWh useable battery          Available since February 2021,13.3 sec,130,260,262,280,Front Wheel Drive,7,"60,430",N/A
Opel Zafira-e Life M 50 kWh,46.3 kWh useable battery          Available since November 2020,12.1 sec,130,185,250,290,Front Wheel Drive,7,"63,250","50,630"
Opel Zafira-e Life L 50 kWh,46.3 kWh useable battery          Available since November 2020,12.1 sec,130,180,257,290,Front Wheel Drive,7,"64,075","50,990"
Opel Zafira-e Life M 75 kWh,68 kWh useable battery          Available since February 2021,13.3 sec,130,265,257,290,Front Wheel Drive,7,"69,250",N/A
Opel Zafira-e Life L 75 kWh,68 kWh useable battery          Available since February 2021,13.3 sec,130,260,262,280,Front Wheel Drive,7,"70,075",N/A
Peugeot e-Traveller Standard 50 kWh,46.3 kWh useable battery          Available since November 2020,13.1 sec,130,185,250,290,Front Wheel Drive,7,"53,640","49,100"
Peugeot e-Traveller Long 50 kWh,46.3 kWh useable battery          Available since November 2020,13.1 sec,130,180,257,290,Front Wheel Drive,7,"54,430","54,275"
Peugeot e-Traveller Standard 75 kWh,68 kWh useable battery          Available since February 2021,14.3 sec,130,265,257,290,Front Wheel Drive,7,"59,640",N/A
Peugeot e-Traveller Long 75 kWh,68 kWh useable battery          Available since February 2021,14.3 sec,130,260,262,280,Front Wheel Drive,7,"60,430",N/A
Porsche Taycan ,71 kWh useable battery          Available since February 2021,5.4 sec,230,410,173,1010,Rear Wheel Drive,4,"88,399","75,500"
Porsche Taycan Plus,83.7 kWh useable battery          Available since February 2021,5.4 sec,230,475,176,1170,Rear Wheel Drive,4,"94,123","79,549"
Tesla Model S Dual Motor,95 kWh useable battery          Available since January 2023,3.2 sec,250,570,167,790,All Wheel Drive,5,"112,990","100,000"
Tesla Model S Plaid,95 kWh useable battery          Available since November 2022,2.1 sec,282,550,173,770,All Wheel Drive,5,"137,990","125,000"
Tesla Model X Dual Motor,95 kWh useable battery          Available since January 2023,3.9 sec,250,470,202,650,All Wheel Drive,7,"120,990","108,000"
Tesla Model X Plaid,95 kWh useable battery          Available since November 2022,2.6 sec,262,455,209,630,All Wheel Drive,7,"140,990","128,000"
Mini Cooper SE ,28.9 kWh useable battery          Available since March 2021,7.3 sec,150,180,161,260,Front Wheel Drive,4,"35,700","29,000"
JAC iEV7s ,39 kWh useable battery          Available since February 2021,12.0 sec,132,225,173,160,Front Wheel Drive,5,N/A,N/A
Volkswagen ID.4 Pure Performance,52 kWh useable battery          Available since January 2021,9.0 sec,160,285,182,360,Rear Wheel Drive,5,N/A,"40,275"
Audi e-tron GT quattro,85 kWh useable battery          Available since March 2021,4.1 sec,245,420,202,1030,All Wheel Drive,4,"106,050","84,000"
Hyundai Kona Electric 39 kWh,39.2 kWh useable battery          Available since June 2021,9.9 sec,155,250,157,220,Front Wheel Drive,5,"36,400","32,450"
Hyundai Kona Electric 64 kWh,64 kWh useable battery          Available since June 2021,7.9 sec,167,395,162,370,Front Wheel Drive,5,"42,900","37,750"
Porsche Taycan 4S Cross Turismo,83.7 kWh useable battery          Available since July 2021,4.1 sec,240,425,197,1050,All Wheel Drive,4,"114,222","91,000"
Porsche Taycan Turbo Cross Turismo,83.7 kWh useable battery          Available since July 2021,3.3 sec,250,400,209,980,All Wheel Drive,4,"157,776","120,900"
Porsche Taycan Turbo S Cross Turismo,83.7 kWh useable battery          Available since July 2021,2.9 sec,250,385,217,950,All Wheel Drive,4,"191,096","143,400"
Kia EV6 GT,74 kWh useable battery          Available since April 2022,3.5 sec,260,370,200,970,All Wheel Drive,5,"72,990","62,645"
BMW iX xDrive40,71 kWh useable battery          Available since October 2021,6.1 sec,200,360,197,480,All Wheel Drive,5,"77,300","69,905"
BMW iX xDrive50,105.2 kWh useable battery          Available since November 2021,4.6 sec,200,505,208,680,All Wheel Drive,5,"100,100","99,785"
MG MG5 Electric Long Range,57.4 kWh useable battery          Available since March 2022,7.7 sec,185,335,171,330,Front Wheel Drive,5,"38,490","30,995"
MG Marvel R Performance,65 kWh useable battery          Available since October 2021,4.9 sec,200,330,197,390,All Wheel Drive,5,"50,990",N/A
Hyundai IONIQ 5 Standard Range 2WD,54 kWh useable battery          Available since July 2021,8.5 sec,185,295,183,720,Rear Wheel Drive,5,"43,900","43,150"
Kia EV6 Standard Range 2WD,54 kWh useable battery          Available since October 2021,8.5 sec,185,305,177,750,Rear Wheel Drive,5,"46,990",N/A
Kia EV6 Long Range 2WD,74 kWh useable battery          Available since October 2021,7.3 sec,185,410,180,1070,Rear Wheel Drive,5,"51,990","45,245"
Kia EV6 Long Range AWD,74 kWh useable battery          Available since October 2021,5.2 sec,185,400,185,1050,All Wheel Drive,5,"55,980","51,745"
Mercedes EQS 450+,107.8 kWh useable battery          Available since October 2021,6.2 sec,210,640,168,960,Rear Wheel Drive,5,"109,551","105,610"
Mercedes EQS 580 4MATIC,107.8 kWh useable battery          Available since October 2021,4.3 sec,210,605,178,900,All Wheel Drive,5,"141,705",N/A
Volkswagen ID.4 Pure,52 kWh useable battery          Available since February 2021,10.9 sec,160,285,182,360,Rear Wheel Drive,5,N/A,"38,845"
Audi Q4 e-tron 40,76.6 kWh useable battery          Available since June 2021,8.5 sec,160,405,189,510,Rear Wheel Drive,5,"51,900","49,930"
Audi Q4 e-tron 50 quattro,76.6 kWh useable battery          Available since July 2021,6.2 sec,180,385,199,490,All Wheel Drive,5,"57,900","56,310"
Audi Q4 Sportback e-tron 50 quattro,76.6 kWh useable battery          Available since August 2021,6.2 sec,180,400,192,500,All Wheel Drive,5,"59,900","57,810"
Mercedes EQB 350 4MATIC,66.5 kWh useable battery          Available since February 2022,6.2 sec,160,335,199,480,All Wheel Drive,7,"58,197","56,810"
Mercedes EQA 300 4MATIC,66.5 kWh useable battery          Available since May 2021,7.7 sec,160,350,190,500,All Wheel Drive,5,"53,746","53,010"
Mercedes EQA 350 4MATIC,66.5 kWh useable battery          Available since May 2021,6.0 sec,160,350,190,500,All Wheel Drive,5,"56,424","54,510"
Toyota PROACE Verso M 75 kWh,68 kWh useable battery          Available since October 2021,13.1 sec,130,265,257,290,Front Wheel Drive,7,"64,530",N/A
Toyota PROACE Verso L 75 kWh,68 kWh useable battery          Available since October 2021,13.1 sec,130,260,262,280,Front Wheel Drive,7,"65,385",N/A
CUPRA Born 150 kW - 58 kWh,58 kWh useable battery          Available since October 2021,7.3 sec,160,350,166,470,Rear Wheel Drive,5,"39,370","36,475"
CUPRA Born 170 kW - 58 kWh,58 kWh useable battery          Available since March 2022,6.6 sec,160,345,168,460,Rear Wheel Drive,5,"40,750","39,205"
CUPRA Born 170 kW - 77 kWh,77 kWh useable battery          Available since March 2022,7.0 sec,160,450,171,570,Rear Wheel Drive,4,"46,450","41,975"
BMW i4 M50,80.7 kWh useable battery          Available since November 2021,3.9 sec,225,435,186,670,All Wheel Drive,5,"70,800","71,085"
Renault Megane E-Tech EV60 220hp,60 kWh useable battery          Available since April 2022,7.4 sec,160,360,167,500,Front Wheel Drive,5,"46,600","36,995"
Peugeot e-Rifter Standard 50 kWh,46.3 kWh useable battery          Available since July 2021,11.7 sec,135,205,226,330,Front Wheel Drive,7,"41,240","32,300"
Peugeot e-Rifter Long 50 kWh,46.3 kWh useable battery          Available since July 2021,11.7 sec,135,200,232,320,Front Wheel Drive,7,"42,440","34,300"
MG Marvel R ,65 kWh useable battery          Available since October 2021,7.9 sec,200,335,194,400,Rear Wheel Drive,5,"46,990",N/A
Audi Q4 e-tron 45 quattro,76.6 kWh useable battery          Available since August 2021,6.9 sec,180,385,199,490,All Wheel Drive,5,"53,990",N/A
Audi Q4 Sportback e-tron 40,76.6 kWh useable battery          Available since August 2021,8.5 sec,160,425,180,540,Rear Wheel Drive,5,"53,900","51,430"
BMW iX3 ,74 kWh useable battery          Available since September 2021,6.8 sec,180,385,192,520,Rear Wheel Drive,5,"67,300","64,165"
Renault Megane E-Tech EV40 130hp,40 kWh useable battery          Available since April 2022,10.0 sec,150,250,160,360,Front Wheel Drive,5,"42,000",N/A
Mercedes EQS AMG 53 4MATIC+,107.8 kWh useable battery          Available since February 2022,3.4 sec,250,565,191,840,All Wheel Drive,5,"155,009","161,860"
Mercedes EQE 350+,90.6 kWh useable battery          Available since April 2022,6.4 sec,210,525,173,780,Rear Wheel Drive,5,N/A,N/A
MG ZS EV Standard Range,49 kWh useable battery          Available since November 2021,8.6 sec,175,270,181,260,Front Wheel Drive,5,"33,990","29,495"
MG ZS EV Long Range,68.3 kWh useable battery          Available since November 2021,8.4 sec,175,365,187,410,Front Wheel Drive,5,"37,990","31,995"
Mercedes EQV 250 Long,60 kWh useable battery          Available since October 2021,12.0 sec,160,205,293,190,Front Wheel Drive,7,"68,056",N/A
Mercedes EQV 250 Extra-Long,60 kWh useable battery          Available since October 2021,12.0 sec,160,205,293,190,Front Wheel Drive,7,"68,949",N/A
Opel Combo-e Life 50 kWh,46.3 kWh useable battery          Available since October 2021,11.7 sec,135,205,226,330,Front Wheel Drive,7,"43,050","34,035"
Opel Combo-e Life XL 50 kWh,46.3 kWh useable battery          Available since October 2021,11.7 sec,135,200,232,320,Front Wheel Drive,7,"44,750","34,635"
Citroen e-Berlingo M 50 kWh,46.3 kWh useable battery          Available since September 2021,11.7 sec,135,205,226,330,Front Wheel Drive,5,"37,790","31,495"
Citroen e-Berlingo XL 50 kWh,46.3 kWh useable battery          Available since September 2021,11.7 sec,135,200,232,320,Front Wheel Drive,7,"43,640","32,495"
Tesla Model 3 ,57.5 kWh useable battery          Available since December 2021,6.1 sec,225,380,151,630,Rear Wheel Drive,5,"44,668","42,990"
Volkswagen ID.5 Pro,77 kWh useable battery          Available since March 2022,10.4 sec,160,430,179,540,Rear Wheel Drive,5,"47,935","50,710"
Volkswagen ID.5 Pro Performance,77 kWh useable battery          Available since March 2022,8.4 sec,160,430,179,540,Rear Wheel Drive,5,"48,970","52,185"
Volkswagen ID.5 GTX,77 kWh useable battery          Available since March 2022,6.3 sec,180,405,190,560,All Wheel Drive,5,"56,455","56,545"
Mercedes EQB 300 4MATIC,66.5 kWh useable battery          Available since February 2022,8.0 sec,160,335,199,480,All Wheel Drive,7,"55,519","55,310"
Porsche Taycan GTS,83.7 kWh useable battery          Available since February 2022,3.7 sec,250,450,186,1110,All Wheel Drive,4,"134,214","106,000"
Porsche Taycan GTS Sport Turismo,83.7 kWh useable battery          Available since February 2022,3.7 sec,250,425,197,1050,All Wheel Drive,4,"135,166","107,000"
Toyota bZ4X FWD,64 kWh useable battery          Available since June 2022,7.5 sec,160,335,191,500,Front Wheel Drive,5,"47,490","45,710"
Toyota bZ4X AWD,64 kWh useable battery          Available since June 2022,6.9 sec,160,330,194,490,All Wheel Drive,5,"57,390","52,110"
Subaru Solterra AWD,64 kWh useable battery          Available since June 2022,6.9 sec,160,320,200,480,All Wheel Drive,5,"57,490","49,995"
Peugeot e-208 ,46.3 kWh useable battery          Available since November 2021,8.1 sec,150,290,160,460,Front Wheel Drive,5,"39,100","34,595"
Peugeot e-2008 SUV ,46.3 kWh useable battery          Available since November 2021,8.5 sec,150,260,178,420,Front Wheel Drive,5,"37,900","35,150"
Opel Corsa-e ,46.3 kWh useable battery          Available since November 2021,8.1 sec,150,295,157,470,Front Wheel Drive,5,"36,395","31,130"
Opel Mokka-e ,46.3 kWh useable battery          Available since November 2021,9.2 sec,150,260,178,420,Front Wheel Drive,5,"40,650","34,910"
Citroen e-C4 ,46.3 kWh useable battery          Available since November 2021,9.7 sec,150,275,168,440,Front Wheel Drive,5,"36,040","30,995"
Renault Megane E-Tech EV60 130hp,60 kWh useable battery          Available since April 2022,10.5 sec,150,365,164,510,Front Wheel Drive,5,"47,000",N/A
SsangYong Korando e-Motion,56 kWh useable battery          Available since February 2022,8.5 sec,156,290,193,330,Front Wheel Drive,5,"40,490",N/A
BMW iX M60,105.2 kWh useable battery          Available since April 2022,3.8 sec,250,485,217,650,All Wheel Drive,5,"136,100","119,225"
Tesla Model 3 Long Range Dual Motor,75 kWh useable battery          Available since November 2021,4.4 sec,233,485,155,750,All Wheel Drive,5,"53,668","50,990"
Citroen e-Jumpy Combi M 50 kWh,46.3 kWh useable battery          Available since November 2020,12.1 sec,130,185,250,290,Front Wheel Drive,7,"51,940","35,795"
Citroen e-Jumpy Combi XL 50 kWh,46.3 kWh useable battery          Available since November 2020,12.1 sec,130,180,257,290,Front Wheel Drive,7,"52,730","35,995"
Citroen e-Jumpy Combi M 75 kWh,68 kWh useable battery          Available since November 2020,13.3 sec,130,265,257,290,Front Wheel Drive,7,"57,940",N/A
Citroen e-Jumpy Combi XL 75 kWh,68 kWh useable battery          Available since November 2020,13.3 sec,130,260,262,280,Front Wheel Drive,7,"58,730",N/A
Opel Vivaro-e Combi M 50 kWh,46.3 kWh useable battery          Available since October 2020,12.1 sec,130,185,250,290,Front Wheel Drive,7,"50,992","37,320"
Opel Vivaro-e Combi L 50 kWh,46.3 kWh useable battery          Available since October 2020,12.1 sec,130,180,257,290,Front Wheel Drive,7,"51,825","37,520"
Opel Vivaro-e Combi M 75 kWh,68 kWh useable battery          Available since October 2020,13.3 sec,130,265,257,290,Front Wheel Drive,7,"56,942",N/A
Opel Vivaro-e Combi L 75 kWh,68 kWh useable battery          Available since October 2020,13.3 sec,130,260,262,280,Front Wheel Drive,7,"57,775",N/A
Peugeot e-Expert Combi Standard 50 kWh,46.3 kWh useable battery          Available since February 2021,13.1 sec,130,185,250,290,Front Wheel Drive,7,"51,940",N/A
Peugeot e-Expert Combi Long 50 kWh,46.3 kWh useable battery          Available since February 2021,13.1 sec,130,180,257,290,Front Wheel Drive,7,"52,730",N/A
Peugeot e-Expert Combi Standard 75 kWh,68 kWh useable battery          Available since February 2021,14.3 sec,130,265,257,290,Front Wheel Drive,7,"57,940",N/A
Peugeot e-Expert Combi Long 75 kWh,68 kWh useable battery          Available since February 2021,14.3 sec,130,260,262,280,Front Wheel Drive,7,"58,730",N/A
Toyota PROACE Shuttle M 50 kWh,46.3 kWh useable battery          Available since June 2021,12.1 sec,130,180,257,290,Front Wheel Drive,7,N/A,N/A
Toyota PROACE Shuttle L 50 kWh,46.3 kWh useable battery          Available since June 2021,12.1 sec,130,180,257,290,Front Wheel Drive,7,N/A,N/A
Toyota PROACE Shuttle M 75 kWh,68 kWh useable battery          Available since June 2021,13.1 sec,130,260,262,280,Front Wheel Drive,7,N/A,N/A
Toyota PROACE Shuttle L 75 kWh,68 kWh useable battery          Available since June 2021,13.1 sec,130,260,262,280,Front Wheel Drive,7,N/A,N/A
Mercedes eVito Tourer Long 90 kWh,90 kWh useable battery          Available since October 2020,12.0 sec,160,310,290,310,Front Wheel Drive,7,"64,248","68,352"
Mercedes eVito Tourer Extra-Long 90 kWh,90 kWh useable battery          Available since October 2020,12.0 sec,160,305,295,310,Front Wheel Drive,7,"65,140","75,846"
Mercedes eVito Tourer Long 60 kWh,60 kWh useable battery          Available since January 2022,12.0 sec,160,210,286,310,Front Wheel Drive,7,"60,678",N/A
Mercedes eVito Tourer Extra-Long 60 kWh,60 kWh useable battery          Available since January 2022,12.0 sec,160,205,293,300,Front Wheel Drive,7,"61,571",N/A
Tesla Model Y Long Range Dual Motor,75 kWh useable battery          Available since February 2022,5.0 sec,217,435,172,670,All Wheel Drive,5,"59,017","52,990"
Tesla Model 3 Performance,75 kWh useable battery          Available since February 2022,3.3 sec,261,460,163,710,All Wheel Drive,5,"57,668","57,990"
Porsche Taycan Sport Turismo,71 kWh useable battery          Available since March 2022,5.4 sec,230,380,187,930,Rear Wheel Drive,4,"89,351","76,500"
Porsche Taycan Plus Sport Turismo,83.7 kWh useable battery          Available since March 2022,5.4 sec,230,445,188,1090,Rear Wheel Drive,4,"95,074","80,549"
Porsche Taycan 4S Sport Turismo,71 kWh useable battery          Available since March 2022,4.0 sec,250,370,192,910,All Wheel Drive,4,"109,819","87,500"
Porsche Taycan 4S Plus Sport Turismo,83.7 kWh useable battery          Available since March 2022,4.0 sec,250,430,195,1060,All Wheel Drive,4,"115,341","91,406"
Porsche Taycan Turbo Sport Turismo,83.7 kWh useable battery          Available since March 2022,3.2 sec,260,405,207,1000,All Wheel Drive,4,"157,300","120,900"
Porsche Taycan Turbo S Sport Turismo,83.7 kWh useable battery          Available since March 2022,2.8 sec,260,395,212,970,All Wheel Drive,4,"190,620","143,400"
Volkswagen ID.4 Pro,77 kWh useable battery          Available since February 2022,10.4 sec,160,410,188,520,Rear Wheel Drive,5,N/A,"44,605"
Skoda Enyaq Coupe iV 60,58 kWh useable battery          Available since July 2022,8.8 sec,160,335,173,450,Rear Wheel Drive,5,"43,000",N/A
Skoda Enyaq Coupe iV 80,77 kWh useable battery          Available since July 2022,8.7 sec,160,445,173,560,Rear Wheel Drive,5,"54,400","44,770"
Skoda Enyaq Coupe iV 80x,77 kWh useable battery          Available since December 2022,7.0 sec,160,430,179,540,All Wheel Drive,5,"57,000","52,450"
Skoda Enyaq Coupe iV RS,77 kWh useable battery          Available since March 2022,6.5 sec,180,405,190,560,All Wheel Drive,5,"63,300","54,370"
MG MG5 Electric Standard Range,46 kWh useable battery          Available since June 2022,7.7 sec,185,265,174,320,Front Wheel Drive,5,"35,490",N/A
Genesis GV60 Premium,74 kWh useable battery          Available since June 2022,7.8 sec,185,390,190,1020,Rear Wheel Drive,5,N/A,"53,905"
Genesis GV60 Sport,74 kWh useable battery          Available since June 2022,5.5 sec,200,380,195,990,All Wheel Drive,5,"63,200","58,365"
Genesis GV60 Sport Plus,74 kWh useable battery          Available since June 2022,4.0 sec,235,365,203,950,All Wheel Drive,5,"73,100","67,505"
Volkswagen e-Up! ,32.3 kWh useable battery          Available since August 2021,11.9 sec,130,205,158,170,Front Wheel Drive,4,"29,995",N/A
Volkswagen ID. Buzz Pro,77 kWh useable battery          Available since September 2022,10.2 sec,145,330,233,460,Rear Wheel Drive,5,"64,581","57,115"
Mercedes EQE AMG 43 4MATIC,90.6 kWh useable battery          Available since April 2022,4.2 sec,210,485,187,720,All Wheel Drive,5,"103,827",N/A
Mercedes EQE AMG 53 4MATIC+,90.6 kWh useable battery          Available since July 2022,3.5 sec,240,480,189,720,All Wheel Drive,5,"109,777","114,750"
Nissan Leaf ,39 kWh useable battery          Available since March 2022,7.9 sec,144,235,166,230,Front Wheel Drive,5,"33,400","28,995"
Nissan Leaf e+,59 kWh useable battery          Available since March 2022,6.9 sec,157,340,174,240,Front Wheel Drive,5,"41,100","34,945"
Hyundai IONIQ 5 Long Range 2WD,74 kWh useable battery          Available since April 2022,7.3 sec,185,390,190,1020,Rear Wheel Drive,5,"47,900","46,650"
Hyundai IONIQ 5 Long Range AWD,74 kWh useable battery          Available since April 2022,5.1 sec,185,385,192,1010,All Wheel Drive,5,"59,200","50,150"
Mercedes EQB 250,66.5 kWh useable battery          Available since March 2022,8.9 sec,160,345,193,500,Front Wheel Drive,7,"52,550",N/A
Kia Niro EV ,64.8 kWh useable battery          Available since June 2022,7.8 sec,167,380,171,380,Front Wheel Drive,5,"47,590","36,795"
Smart #1 ,62 kWh useable battery          Available since March 2023,6.7 sec,180,330,188,510,Rear Wheel Drive,5,"42,490","35,000"
Mercedes EQS SUV 450+,108.4 kWh useable battery          Available since December 2022,6.7 sec,210,495,219,650,Rear Wheel Drive,7,"110,801",N/A
Mercedes EQS SUV 450 4MATIC,108.4 kWh useable battery          Available since December 2022,6.0 sec,210,485,224,630,All Wheel Drive,7,"114,609","129,170"
Mercedes EQS SUV 580 4MATIC,108.4 kWh useable battery          Available since December 2022,4.6 sec,210,485,224,630,All Wheel Drive,7,"135,434","139,170"
BMW i7 xDrive60,101.7 kWh useable battery          Available since November 2022,4.7 sec,240,510,199,760,All Wheel Drive,5,"135,900","110,545"
Lexus RZ 450e,64 kWh useable battery          Available since February 2023,5.6 sec,160,310,206,460,All Wheel Drive,5,"68,000","66,500"
Aiways U5 ,60 kWh useable battery          Available since April 2022,7.5 sec,150,315,190,380,Front Wheel Drive,5,"39,563",N/A
Mazda MX-30 ,30 kWh useable battery          Available since May 2022,9.7 sec,140,170,176,210,Front Wheel Drive,5,"35,990","30,050"
Lucid Air Dream Edition R,118 kWh useable battery          Available since January 2022,2.9 sec,270,685,172,870,All Wheel Drive,5,"218,000",N/A
Mercedes EQA 250,66.5 kWh useable battery          Available since June 2022,8.6 sec,160,355,187,510,Front Wheel Drive,5,"50,777",N/A
Mercedes EQA 250+,70.5 kWh useable battery          Available since June 2022,8.6 sec,160,375,188,520,Front Wheel Drive,5,"52,205","52,010"
Mercedes EQS 450 4MATIC,107.8 kWh useable battery          Available since June 2022,5.6 sec,210,615,175,920,All Wheel Drive,5,"113,359",N/A
Mercedes EQS 500 4MATIC,107.8 kWh useable battery          Available since June 2022,4.8 sec,210,605,178,900,All Wheel Drive,5,"125,378",N/A
BMW iX1 xDrive30,64.7 kWh useable battery          Available since November 2022,5.6 sec,180,355,182,510,All Wheel Drive,5,"55,000","52,255"
Volkswagen ID.4 Pro 4MOTION,77 kWh useable battery          Available since June 2022,6.9 sec,180,405,190,510,All Wheel Drive,5,"49,020",N/A
Genesis G80 Electrified Luxury,82.5 kWh useable battery          Available since June 2022,4.9 sec,225,440,188,880,All Wheel Drive,5,"69,200","69,805"
Dacia Spring Electric 45,25 kWh useable battery          Available since July 2022,19.1 sec,125,165,152,180,Front Wheel Drive,4,"22,550",N/A
Citroen e-C4 X ,46.3 kWh useable battery          Available since November 2022,9.7 sec,150,275,168,440,Front Wheel Drive,5,"37,540",N/A
MG MG4 Electric 51 kWh,50.8 kWh useable battery          Available since October 2022,7.7 sec,160,300,169,340,Rear Wheel Drive,5,"31,990","25,995"
MG MG4 Electric 64 kWh,61.7 kWh useable battery          Available since October 2022,7.9 sec,160,365,169,450,Rear Wheel Drive,5,"35,990","28,495"
Fisker Ocean Sport,75 kWh useable battery          Available since March 2023,7.4 sec,160,380,197,480,Front Wheel Drive,5,"41,560","35,970"
